OBJECTID,Address Grid High,Address Grid Low,ENG_UNIQUE,Township Id,Road Id,Segment Id,Subsegment Id,Right City,Left County,Right County,Left State,Right State,Left FIPS,Right FIPS,Cardinality,Number of Lanes,Speed,Left City,Left Township,Right Township,Jurisdiction,Beginning Log Point,3D Length,Surface Type,Travel Direction,Reverse Direction,Divided,Alternate Pre Direction,Alternate Street Name,Alternate Suffix Direction,Alternate Street Type,End Log Point,Beginning Log Point 2,End Log Point 2,NLFID 2,Overlapping Road,Road ID,Pre Direction,Suffix Direction,Left To Address,Left From Address,Right To Address,Right From Address,Left Zip Code,Right Zip Code,Street Name,Street Type,Road Number,NLFID,Pre Type,Full Street Name,PNAME,Left Community,Right Community,Shield,SHAPE__Length
6112,879,60, ,,55,772,1,POWELL,DEL,DEL,OH,OH,64486,64486,C,2,25,POWELL, , ,M,0,0,P,B, ,N, , , , ,0,0,0, , ,955077201, , ,879,857,866,866,43065,43065,VILLAGE PARK,DR,411,MDELMR00411**C, ,VILLAGE PARK DR,VILLAGE PARK,POWELL,POWELL, ,116.692513633506
6113,5800,5600, ,,42,783,29, ,DEL,DEL,OH,OH,29694,29694,C,2,25, ,GENOA TWP,GENOA TWP,T,0,0,P,B,True,N, , , , ,0,0,0, , ,642078329, , ,5711,5609,5702,5608,43082,43082,MOSAIC,WAY,1480,TDELTR01480**C, ,MOSAIC WAY,MOSAIC,GENOA TWP,GENOA TWP, ,224.834866548438
6114,5500,5000, ,,42,783,28, ,DEL,DEL,OH,OH,29694,29694,C,2,25, ,GENOA TWP,GENOA TWP,T,0,0,P,B, ,N, , , , ,0,0,0, , ,642078328, , ,5499,5445,5492,5452,43082,43082,SIERRA,DR,1315,TDELTR01315**C, ,SIERRA DR,SIERRA,GENOA TWP,GENOA TWP, ,129.285580629389
6115,296,200, ,,55,162,0,DELAWARE,DEL,DEL,OH,OH,21434,21434,C,2,25,DELAWARE, , ,M,0,0,P,B,True,N, , , , ,0,0,0, , ,255016200, , ,200,296,211,295,43015,43015,TARA GLEN,DR,1148,MDELMR01148**C, ,TARA GLEN DR,TARA GLEN,DELAWARE,DELAWARE, ,677.137039141549
6116,266,110, ,,55,162,3,DELAWARE,DEL,DEL,OH,OH,21434,21434,C,2,25,DELAWARE, , ,M,0,0,P,B,True,N, , , , ,0,0,0, , ,255016203, , ,134,266,141,261,43015,43015,KITDARE,DR,1149,MDELMR01149**C, ,KITDARE DR,KITDARE,DELAWARE,DELAWARE, ,895.246565818631
6117,9284,8974, ,,35,44,2,WESTERVILLE,DEL,DEL,OH,OH,83342,83342,C,2,45,WESTERVILLE, , ,M,0,0,P,B,True,N, ,OLDE WORHTINGTON/OLD WORTHINGTON, ,RD/RD,0,0,0,CDELCR00013**C,Y,1135004402, , ,9200,9262,0,0,43082,43082,WORTHINGTON,RD,13,CDELCR00013**C, ,WORTHINGTON RD,WORTHINGTON,WESTERVILLE,WESTERVILLE, ,217.843685276298
6118,9284,8974, ,,35,44,3,WESTERVILLE,DEL,DEL,OH,OH,83342,83342,C,2,45,WESTERVILLE, , ,M,0,0,P,B,True,N, ,OLDE WORHTINGTON/OLD WORTHINGTON, ,RD/RD,0,0,0,CDELCR00013**C,Y,1135004403, , ,9284,9284,0,0,43082,43082,WORTHINGTON,RD,13,CDELCR00013**C, ,WORTHINGTON RD,WORTHINGTON,WESTERVILLE,WESTERVILLE, ,143.11720144338
6119,747,270, ,,35,187,0,WESTERVILLE,DEL,DEL,OH,OH,83342,83342,C,4,35,WESTERVILLE, , ,M,0,0,P,B, ,N,NORTH/,SPRING/TUSSIC STREET, ,RD/RD,0,0,0, , ,635018700,N, ,747,725,730,730,43082,43082,SPRING,RD,108,CDELCR00108**C, ,N SPRING RD,SPRING,WESTERVILLE,WESTERVILLE, ,607.20075922154
6120,832,799, ,,55,178,1,WESTERVILLE,DEL,DEL,OH,OH,83342,83342,C,2,25,WESTERVILLE, , ,M,0,0,P,B, ,N, , , , ,0,0,0, , ,655017801, , ,832,800,831,799,43082,43082,KEYHAM TERRACE,DR,1150,MDELMR01150**C, ,KEYHAM TERRACE DR,KEYHAM TERRACE,WESTERVILLE,WESTERVILLE, ,222.703468279977
6121,682,524, ,,55,178,6,WESTERVILLE,DEL,DEL,OH,OH,83342,83342,C,2,25,WESTERVILLE, , ,M,0,0,P,B, ,N, ,DEER, ,TRAIL,0,0,0, , ,655017806, , ,563,533,552,528,43082,43082,DEER,TRL,744,MDELMR00744**C, ,DEER TRL,DEER,WESTERVILLE,WESTERVILLE, ,144.562599915605
6122,682,524, ,,55,178,0,WESTERVILLE,DEL,DEL,OH,OH,83342,83342,C,2,25,WESTERVILLE, , ,M,0,0,P,B, ,N, ,DEER, ,TRAIL,0,0,0, , ,655017800, , ,525,525,524,524,43082,43082,DEER,TRL,744,MDELMR00744**C, ,DEER TRL,DEER,WESTERVILLE,WESTERVILLE, ,113.701486261831
6123,682,524, ,,55,178,5,WESTERVILLE,DEL,DEL,OH,OH,83342,83342,C,2,25,WESTERVILLE, , ,M,0,0,P,B, ,N, ,DEER, ,TRAIL,0,0,0, , ,655017805, , ,595,571,602,570,43082,43082,DEER,TRL,744,MDELMR00744**C, ,DEER TRL,DEER,WESTERVILLE,WESTERVILLE, ,160.106343614503
6124,682,524, ,,55,178,4,WESTERVILLE,DEL,DEL,OH,OH,83342,83342,C,2,25,WESTERVILLE, , ,M,0,0,P,B, ,N, ,DEER, ,TRAIL,0,0,0, , ,655017804, , ,627,603,632,610,43082,43082,DEER,TRL,744,MDELMR00744**C, ,DEER TRL,DEER,WESTERVILLE,WESTERVILLE, ,145.490067629542
6125,682,524, ,,55,178,3,WESTERVILLE,DEL,DEL,OH,OH,83342,83342,C,2,25,WESTERVILLE, , ,M,0,0,P,B, ,N, ,DEER, ,TRAIL,0,0,0, , ,655017803, , ,667,635,682,650,43082,43082,DEER,TRL,744,MDELMR00744**C, ,DEER TRL,DEER,WESTERVILLE,WESTERVILLE, ,166.811559524231
